Chapter Included,Number of topics,Ranked,Jaccard,Cosine
Original,86,0.6862745098039212,0.24050632911392406,0.6516309688436945
intro,91,0.6811766257749637,0.2625,0.659818996162849
1,96,0.4147331342369248,0.2654320987654321,0.6556744112317223
2,99,0.5014962834250409,0.2606060606060606,0.6712254588405897
3,110,0.3716554160400125,0.26704545454545453,0.6702114023313561
4,112,0.3398145187080267,0.2640449438202247,0.6759573059236959
5,133,0.29717066138042875,0.2894736842105263,0.6819922476821996
6,137,0.3009180623938421,0.27918781725888325,0.6778862967710853
7,151,0.24887065275284542,0.27053140096618356,0.6603627205129634
8,157,0.23776856388993575,0.27488151658767773,0.6590509805233842
9,162,0.23533409249531717,0.2757009345794392,0.6858785813405609
10,173,0.22951260142941662,0.2687224669603524,0.6758823926731443
11,173,0.22951260142941662,0.2687224669603524,0.6758823926731443
12,189,0.22335300685914894,0.27467811158798283,0.7023647556464565
13,189,0.22335300685914894,0.27467811158798283,0.7023647556464565
14,196,0.20665548098434072,0.26666666666666666,0.7084026482986061
15,202,0.18903005423546043,0.2601626016260163,0.7049662380885062
16,211,0.17364528433742016,0.256,0.7000239743465659
17,212,0.17332732662907693,0.2549800796812749,0.6991866247952501
18,217,0.1813161003800556,0.2559055118110236,0.6985212787398072
19,230,0.18947525951321784,0.2653846153846154,0.7148744688844417
20,245,0.1735765759916906,0.26199261992619927,0.7176499361773695
21,248,0.17272879976225308,0.2581818181818182,0.7164331375418438
22,251,0.17188926463591894,0.2563176895306859,0.7146406938210468
All,251,0.17188926463591894,0.2563176895306859,0.7146406938210468
